,model,accuracy score,F1 score,time,features
2,Random Forest,1.0,1.0,0.08466720581054688,57
3,K-Nearest Neighbors,1.0,1.0,0.5090205669403076,57
4,Linear SVM,1.0,1.0,1.9809584617614746,57
0,Logistic Regression,1.0,1.0,0.04195404052734375,58
1,Decision Tree,1.0,1.0,0.009338855743408203,58
2,Random Forest,1.0,1.0,0.08520674705505371,58
3,K-Nearest Neighbors,1.0,1.0,0.5155696868896484,58
4,Linear SVM,1.0,1.0,2.013840675354004,58
0,Logistic Regression,1.0,1.0,0.041312456130981445,59
1,Decision Tree,1.0,1.0,0.009320974349975586,59
2,Random Forest,1.0,1.0,0.08789610862731934,59
3,K-Nearest Neighbors,1.0,1.0,0.5445356369018555,59
4,Linear SVM,1.0,1.0,2.0414252281188965,59
0,Logistic Regression,1.0,1.0,0.04671335220336914,60
1,Decision Tree,1.0,1.0,0.009368181228637695,60
2,Random Forest,1.0,1.0,0.08793449401855469,60
3,K-Nearest Neighbors,1.0,1.0,0.5326962471008301,60
4,Linear SVM,1.0,1.0,2.0694801807403564,60
0,Logistic Regression,1.0,1.0,0.04175209999084473,61
1,Decision Tree,1.0,1.0,0.009405374526977539,61
2,Random Forest,1.0,1.0,0.08507037162780762,61
3,K-Nearest Neighbors,1.0,1.0,0.5425646305084229,61
4,Linear SVM,1.0,1.0,2.1051597595214844,61
0,Logistic Regression,1.0,1.0,0.046773433685302734,62
1,Decision Tree,1.0,1.0,0.009599924087524414,62
2,Random Forest,1.0,1.0,0.08685469627380371,62
3,K-Nearest Neighbors,1.0,1.0,0.5426170825958252,62
4,Linear SVM,1.0,1.0,2.205134868621826,62
0,Logistic Regression,1.0,1.0,0.04572105407714844,63
1,Decision Tree,1.0,1.0,0.009606122970581055,63
2,Random Forest,1.0,1.0,0.08826112747192383,63
3,K-Nearest Neighbors,1.0,1.0,0.5406796932220459,63
4,Linear SVM,1.0,1.0,2.21349835395813,63
0,Logistic Regression,1.0,1.0,0.044211626052856445,64
1,Decision Tree,1.0,1.0,0.009495019912719727,64
2,Random Forest,1.0,1.0,0.09108471870422363,64
3,K-Nearest Neighbors,1.0,1.0,0.5632498264312744,64
4,Linear SVM,1.0,1.0,2.2540526390075684,64
0,Logistic Regression,1.0,1.0,0.04593491554260254,65
1,Decision Tree,1.0,1.0,0.009771347045898438,65
2,Random Forest,1.0,1.0,0.1038675308227539,65
3,K-Nearest Neighbors,1.0,1.0,0.6116588115692139,65
4,Linear SVM,1.0,1.0,2.4388322830200195,65
0,Logistic Regression,1.0,1.0,0.04741787910461426,66
1,Decision Tree,1.0,1.0,0.0097808837890625,66
2,Random Forest,1.0,1.0,0.08795523643493652,66
3,K-Nearest Neighbors,1.0,1.0,0.5805988311767578,66
4,Linear SVM,1.0,1.0,2.5320241451263428,66
0,Logistic Regression,1.0,1.0,0.04353690147399902,67
1,Decision Tree,1.0,1.0,0.009569168090820312,67
2,Random Forest,1.0,1.0,0.08748054504394531,67
3,K-Nearest Neighbors,1.0,1.0,0.5902509689331055,67
4,Linear SVM,1.0,1.0,2.5188982486724854,67
0,Logistic Regression,1.0,1.0,0.04214668273925781,68
1,Decision Tree,1.0,1.0,0.009830236434936523,68
2,Random Forest,1.0,1.0,0.08665919303894043,68
3,K-Nearest Neighbors,1.0,1.0,0.5917086601257324,68
4,Linear SVM,1.0,1.0,2.6244776248931885,68
0,Logistic Regression,1.0,1.0,0.04359292984008789,69
1,Decision Tree,1.0,1.0,0.010038137435913086,69
2,Random Forest,1.0,1.0,0.10555386543273926,69
3,K-Nearest Neighbors,1.0,1.0,0.6199855804443359,69
4,Linear SVM,1.0,1.0,2.8525054454803467,69
0,Logistic Regression,1.0,1.0,0.04778146743774414,70
1,Decision Tree,1.0,1.0,0.010182857513427734,70
2,Random Forest,1.0,1.0,0.08684110641479492,70
3,K-Nearest Neighbors,1.0,1.0,0.6308000087738037,70
4,Linear SVM,1.0,1.0,2.9374241828918457,70
0,Logistic Regression,1.0,1.0,0.04745960235595703,71
1,Decision Tree,1.0,1.0,0.011754512786865234,71
2,Random Forest,1.0,1.0,0.09833002090454102,71
3,K-Nearest Neighbors,1.0,1.0,0.6522486209869385,71
4,Linear SVM,1.0,1.0,3.090747833251953,71
0,Logistic Regression,1.0,1.0,0.04448866844177246,72
1,Decision Tree,1.0,1.0,0.010122060775756836,72
2,Random Forest,1.0,1.0,0.09006643295288086,72
3,K-Nearest Neighbors,1.0,1.0,0.6411480903625488,72
4,Linear SVM,1.0,1.0,3.203110694885254,72
0,Logistic Regression,1.0,1.0,0.0542905330657959,73
1,Decision Tree,1.0,1.0,0.010265588760375977,73
2,Random Forest,1.0,1.0,0.1018211841583252,73
3,K-Nearest Neighbors,1.0,1.0,0.6463963985443115,73
4,Linear SVM,1.0,1.0,3.2725727558135986,73
0,Logistic Regression,1.0,1.0,0.04933476448059082,74
1,Decision Tree,1.0,1.0,0.010475397109985352,74
2,Random Forest,1.0,1.0,0.09431672096252441,74
3,K-Nearest Neighbors,1.0,1.0,0.6718592643737793,74
4,Linear SVM,1.0,1.0,3.3977792263031006,74
0,Logistic Regression,1.0,1.0,0.05483746528625488,75
1,Decision Tree,1.0,1.0,0.010354280471801758,75
2,Random Forest,1.0,1.0,0.08764028549194336,75
3,K-Nearest Neighbors,1.0,1.0,0.675900936126709,75
4,Linear SVM,1.0,1.0,3.3982925415039062,75
0,Logistic Regression,1.0,1.0,0.05342268943786621,76
1,Decision Tree,1.0,1.0,0.01024627685546875,76
2,Random Forest,1.0,1.0,0.09431815147399902,76
3,K-Nearest Neighbors,1.0,1.0,0.662024974822998,76
4,Linear SVM,1.0,1.0,3.4012367725372314,76
0,Logistic Regression,1.0,1.0,0.05293869972229004,77
1,Decision Tree,1.0,1.0,0.010297536849975586,77
2,Random Forest,1.0,1.0,0.08819699287414551,77
3,K-Nearest Neighbors,1.0,1.0,0.6875796318054199,77
4,Linear SVM,1.0,1.0,3.4358959197998047,77
0,Logistic Regression,1.0,1.0,0.06621909141540527,78
1,Decision Tree,1.0,1.0,0.010811805725097656,78
2,Random Forest,1.0,1.0,0.09324002265930176,78
3,K-Nearest Neighbors,1.0,1.0,0.7062511444091797,78
4,Linear SVM,1.0,1.0,3.5289459228515625,78
0,Logistic Regression,1.0,1.0,0.04962468147277832,79
1,Decision Tree,1.0,1.0,0.010619640350341797,79
2,Random Forest,1.0,1.0,0.09087491035461426,79
3,K-Nearest Neighbors,1.0,1.0,0.7089269161224365,79
4,Linear SVM,1.0,1.0,3.746509075164795,79
0,Logistic Regression,1.0,1.0,0.07079577445983887,80
1,Decision Tree,1.0,1.0,0.011035680770874023,80
2,Random Forest,1.0,1.0,0.09018731117248535,80
3,K-Nearest Neighbors,1.0,1.0,0.722623348236084,80
4,Linear SVM,1.0,1.0,3.9158575534820557,80
0,Logistic Regression,1.0,1.0,0.05963611602783203,81
1,Decision Tree,1.0,1.0,0.010967016220092773,81
2,Random Forest,1.0,1.0,0.0952901840209961,81
3,K-Nearest Neighbors,1.0,1.0,0.813086748123169,81
4,Linear SVM,1.0,1.0,4.106464624404907,81
0,Logistic Regression,1.0,1.0,0.05034184455871582,82
1,Decision Tree,1.0,1.0,0.011729955673217773,82
2,Random Forest,1.0,1.0,0.09453535079956055,82
3,K-Nearest Neighbors,1.0,1.0,0.7480678558349609,82
4,Linear SVM,1.0,1.0,4.279324054718018,82
0,Logistic Regression,1.0,1.0,0.04976224899291992,83
1,Decision Tree,1.0,1.0,0.010847806930541992,83
2,Random Forest,1.0,1.0,0.09607577323913574,83
3,K-Nearest Neighbors,1.0,1.0,0.7842633724212646,83
4,Linear SVM,1.0,1.0,4.59142541885376,83
0,Logistic Regression,1.0,1.0,0.05886483192443848,84
1,Decision Tree,1.0,1.0,0.011246681213378906,84
2,Random Forest,1.0,1.0,0.09709358215332031,84
3,K-Nearest Neighbors,1.0,1.0,0.794630765914917,84
4,Linear SVM,1.0,1.0,5.100226879119873,84
0,Logistic Regression,1.0,1.0,0.05518913269042969,85
1,Decision Tree,1.0,1.0,0.010871171951293945,85
2,Random Forest,1.0,1.0,0.09049320220947266,85
3,K-Nearest Neighbors,1.0,1.0,0.7722349166870117,85
4,Linear SVM,1.0,1.0,4.972840309143066,85
0,Logistic Regression,1.0,1.0,0.05785703659057617,86
1,Decision Tree,1.0,1.0,0.011955499649047852,86
2,Random Forest,1.0,1.0,0.09312009811401367,86
3,K-Nearest Neighbors,1.0,1.0,0.8182048797607422,86
4,Linear SVM,1.0,1.0,5.32727313041687,86
0,Logistic Regression,1.0,1.0,0.06279325485229492,87
1,Decision Tree,1.0,1.0,0.011360883712768555,87
2,Random Forest,1.0,1.0,0.09543967247009277,87
3,K-Nearest Neighbors,1.0,1.0,0.8107075691223145,87
4,Linear SVM,1.0,1.0,5.400127172470093,87
0,Logistic Regression,1.0,1.0,0.04905581474304199,88
1,Decision Tree,1.0,1.0,0.011336088180541992,88
2,Random Forest,1.0,1.0,0.08755850791931152,88
3,K-Nearest Neighbors,1.0,1.0,0.80698561668396,88
4,Linear SVM,1.0,1.0,5.215832710266113,88
0,Logistic Regression,1.0,1.0,0.056362152099609375,89
1,Decision Tree,1.0,1.0,0.011358261108398438,89
2,Random Forest,1.0,1.0,0.09671330451965332,89
3,K-Nearest Neighbors,1.0,1.0,0.8230950832366943,89
4,Linear SVM,1.0,1.0,5.291119575500488,89
0,Logistic Regression,1.0,1.0,0.05919289588928223,90
1,Decision Tree,1.0,1.0,0.01175379753112793,90
2,Random Forest,1.0,1.0,0.09502959251403809,90
3,K-Nearest Neighbors,1.0,1.0,0.8626084327697754,90
4,Linear SVM,1.0,1.0,5.554811239242554,90
0,Logistic Regression,1.0,1.0,0.055570125579833984,91
1,Decision Tree,1.0,1.0,0.011646270751953125,91
2,Random Forest,1.0,1.0,0.09345364570617676,91
3,K-Nearest Neighbors,1.0,1.0,0.8537125587463379,91
4,Linear SVM,1.0,1.0,5.528712749481201,91
0,Logistic Regression,1.0,1.0,0.0581510066986084,92
1,Decision Tree,1.0,1.0,0.011476993560791016,92
2,Random Forest,1.0,1.0,0.09394264221191406,92
3,K-Nearest Neighbors,1.0,1.0,0.8836591243743896,92
4,Linear SVM,1.0,1.0,5.516134262084961,92
0,Logistic Regression,1.0,1.0,0.05752253532409668,93
1,Decision Tree,1.0,1.0,0.011507987976074219,93
2,Random Forest,1.0,1.0,0.09159040451049805,93
3,K-Nearest Neighbors,1.0,1.0,0.8869185447692871,93
4,Linear SVM,1.0,1.0,5.5717127323150635,93
0,Logistic Regression,1.0,1.0,0.05904698371887207,94
1,Decision Tree,1.0,1.0,0.011551141738891602,94
2,Random Forest,1.0,1.0,0.09181761741638184,94
3,K-Nearest Neighbors,1.0,1.0,0.8885965347290039,94
4,Linear SVM,1.0,1.0,5.60370397567749,94
0,Logistic Regression,1.0,1.0,0.055591583251953125,95
1,Decision Tree,1.0,1.0,0.011347532272338867,95
2,Random Forest,1.0,1.0,0.09624195098876953,95
3,K-Nearest Neighbors,1.0,1.0,0.8951706886291504,95
4,Linear SVM,1.0,1.0,5.877821683883667,95
0,Logistic Regression,1.0,1.0,0.053518056869506836,96
1,Decision Tree,1.0,1.0,0.011506319046020508,96
2,Random Forest,1.0,1.0,0.09208035469055176,96
3,K-Nearest Neighbors,1.0,1.0,0.9604430198669434,96
4,Linear SVM,1.0,1.0,5.777491807937622,96
0,Logistic Regression,1.0,1.0,0.0521085262298584,97
1,Decision Tree,1.0,1.0,0.011822223663330078,97
2,Random Forest,1.0,1.0,0.09506487846374512,97
3,K-Nearest Neighbors,1.0,1.0,0.9266245365142822,97
4,Linear SVM,1.0,1.0,5.901492357254028,97
0,Logistic Regression,1.0,1.0,0.05916595458984375,98
1,Decision Tree,1.0,1.0,0.011945009231567383,98
2,Random Forest,1.0,1.0,0.09247684478759766,98
3,K-Nearest Neighbors,1.0,1.0,0.9312543869018555,98
4,Linear SVM,1.0,1.0,5.955035209655762,98
0,Logistic Regression,1.0,1.0,0.06181645393371582,99
1,Decision Tree,1.0,1.0,0.011589288711547852,99
2,Random Forest,1.0,1.0,0.09777641296386719,99
3,K-Nearest Neighbors,1.0,1.0,0.9720151424407959,99
4,Linear SVM,1.0,1.0,6.004570960998535,99
0,Logistic Regression,1.0,1.0,0.06369280815124512,100
1,Decision Tree,1.0,1.0,0.014455318450927734,100
2,Random Forest,1.0,1.0,0.0959014892578125,100
3,K-Nearest Neighbors,1.0,1.0,0.9674110412597656,100
4,Linear SVM,1.0,1.0,6.060232877731323,100
0,Logistic Regression,1.0,1.0,0.0586094856262207,101
1,Decision Tree,1.0,1.0,0.011941194534301758,101
2,Random Forest,1.0,1.0,0.09478068351745605,101
3,K-Nearest Neighbors,1.0,1.0,0.9831366539001465,101
4,Linear SVM,1.0,1.0,7.047399282455444,101
0,Logistic Regression,1.0,1.0,0.05586528778076172,102
1,Decision Tree,1.0,1.0,0.011972188949584961,102
2,Random Forest,1.0,1.0,0.09784245491027832,102
3,K-Nearest Neighbors,1.0,1.0,0.9864635467529297,102
4,Linear SVM,1.0,1.0,7.095543384552002,102
0,Logistic Regression,1.0,1.0,0.0568239688873291,103
1,Decision Tree,1.0,1.0,0.012973308563232422,103
2,Random Forest,1.0,1.0,0.09762835502624512,103
3,K-Nearest Neighbors,1.0,1.0,1.0042986869812012,103
4,Linear SVM,1.0,1.0,7.8202736377716064,103
0,Logistic Regression,1.0,1.0,0.06282591819763184,104
1,Decision Tree,1.0,1.0,0.012030839920043945,104
2,Random Forest,1.0,1.0,0.09883713722229004,104
3,K-Nearest Neighbors,1.0,1.0,1.0434775352478027,104
4,Linear SVM,1.0,1.0,8.180899858474731,104
0,Logistic Regression,1.0,1.0,0.06309127807617188,105
1,Decision Tree,1.0,1.0,0.012139320373535156,105
2,Random Forest,1.0,1.0,0.09759712219238281,105
3,K-Nearest Neighbors,1.0,1.0,1.056617259979248,105
4,Linear SVM,1.0,1.0,8.441673517227173,105
0,Logistic Regression,1.0,1.0,0.05698680877685547,106
1,Decision Tree,1.0,1.0,0.012079477310180664,106
2,Random Forest,1.0,1.0,0.09116482734680176,106
3,K-Nearest Neighbors,1.0,1.0,1.0632867813110352,106
4,Linear SVM,1.0,1.0,8.424308061599731,106
0,Logistic Regression,1.0,1.0,0.05719566345214844,107
1,Decision Tree,1.0,1.0,0.012227058410644531,107
2,Random Forest,1.0,1.0,0.09564065933227539,107
3,K-Nearest Neighbors,1.0,1.0,1.0780391693115234,107
4,Linear SVM,1.0,1.0,8.556244373321533,107
0,Logistic Regression,1.0,1.0,0.05994844436645508,108
1,Decision Tree,1.0,1.0,0.012835025787353516,108
2,Random Forest,1.0,1.0,0.09729862213134766,108
3,K-Nearest Neighbors,1.0,1.0,1.0790214538574219,108
4,Linear SVM,1.0,1.0,8.680717945098877,108
0,Logistic Regression,1.0,1.0,0.06030464172363281,109
1,Decision Tree,1.0,1.0,0.012373685836791992,109
2,Random Forest,1.0,1.0,0.09807038307189941,109
3,K-Nearest Neighbors,1.0,1.0,1.1303598880767822,109
4,Linear SVM,1.0,1.0,8.856037139892578,109
0,Logistic Regression,1.0,1.0,0.06053805351257324,110
1,Decision Tree,1.0,1.0,0.012391090393066406,110
2,Random Forest,1.0,1.0,0.10231471061706543,110
3,K-Nearest Neighbors,1.0,1.0,1.1234285831451416,110
4,Linear SVM,1.0,1.0,8.824418544769287,110
0,Logistic Regression,1.0,1.0,0.0681920051574707,111
1,Decision Tree,1.0,1.0,0.012749433517456055,111
2,Random Forest,1.0,1.0,0.09927558898925781,111
3,K-Nearest Neighbors,1.0,1.0,1.1733622550964355,111
4,Linear SVM,1.0,1.0,10.030381441116333,111
0,Logistic Regression,1.0,1.0,0.0555262565612793,112
1,Decision Tree,1.0,1.0,0.01247262954711914,112
2,Random Forest,1.0,1.0,0.10043954849243164,112
3,K-Nearest Neighbors,1.0,1.0,1.182433843612671,112
4,Linear SVM,1.0,1.0,9.83986759185791,112
0,Logistic Regression,1.0,1.0,0.06161355972290039,113
1,Decision Tree,1.0,1.0,0.012762308120727539,113
2,Random Forest,1.0,1.0,0.09481406211853027,113
3,K-Nearest Neighbors,1.0,1.0,1.1914951801300049,113
4,Linear SVM,1.0,1.0,10.15420413017273,113
